58,66,6,77,7,19,44,22,9,90,86,11,61,11,26
56,78,12,30,89,20,62,14,82,76,70,100,59,57,42
93,80,90,77,71,96,55,25,46,57,16,30,91,55,0
85,48,55,36,91,10,31,98,42,84,98,91,76,93,10
62,85,32,56,21,56,78,48,49,66,0,39,39,6,53
44,64,25,47,56,63,80,35,22,70,100,96,32,84,70
50,23,8,90,23,51,98,94,33,84,95,41,77,33,30
9,32,100,36,3,21,66,19,91,48,81,57,86,96,35
59,62,12,98,93,38,59,93,18,21,59,87,76,9,82
37,1,13,29,85,18,29,20,54,94,30,1,0,67,51
79,67,50,23,67,26,98,26,22,33,81,83,66,59,14
5,39,98,54,32,80,6,11,63,20,87,95,82,73,7
80,45,10,71,95,100,26,66,14,95,62,16,13,68,32
29,44,82,49,87,47,63,66,91,10,52,14,2,44,89
79,3,16,11,13,97,6,18,93,22,28,77,3,37,53
