6,51,28,33,12,43,24,72,15,93,12,0,83,28,43
36,29,45,40,61,88,6,70,73,64,12,86,35,42,13
77,40,77,49,54,71,85,8,99,16,96,61,74,16,66
79,48,43,25,84,96,48,74,65,21,49,23,9,83,7
100,23,36,2,44,28,66,15,80,45,70,47,89,18,33
5,50,92,82,96,41,75,92,86,12,15,74,41,89,25
62,5,81,41,84,23,69,87,37,24,29,31,55,80,81
64,46,60,98,40,57,76,23,17,84,99,6,65,27,65
84,0,28,16,81,85,24,21,88,5,76,47,22,23,33
3,74,78,80,97,10,86,30,16,74,88,35,96,56,99
76,32,31,82,33,23,70,40,83,75,26,40,42,30,87
52,74,93,6,14,48,92,96,71,57,100,42,7,25,43
37,29,55,40,3,39,18,4,37,49,23,40,30,4,32
36,13,40,10,14,73,13,60,65,55,10,94,46,85,84
12,23,96,10,67,43,11,79,7,83,44,17,52,32,14
