60,40,71,35,28,40,51,79,61,43,76,12,43,0,96
93,8,72,6,44,88,76,36,83,16,12,9,84,77,31
28,24,61,5,49,12,18,74,96,82,85,63,48,80,45
13,33,54,73,92,86,47,66,6,99,60,2,77,16,57
15,48,83,80,23,8,66,75,41,64,12,49,36,28,15
92,15,89,42,28,41,84,100,7,40,70,50,43,81,96
43,6,25,3,23,65,70,89,25,69,76,24,30,21,29
24,40,56,65,98,86,45,74,33,5,78,29,17,46,85
27,84,0,5,83,22,96,86,25,55,99,85,40,16,21
33,6,99,30,47,23,74,65,64,32,80,23,39,23,52
74,88,81,14,60,41,48,31,70,37,74,30,87,33,76
100,62,42,26,10,65,7,92,87,42,7,13,40,82,55
97,12,84,97,74,43,40,46,81,71,75,18,35,36,32
12,37,13,72,11,96,40,4,16,52,93,96,78,18,94
58,88,29,57,23,4,39,73,58,80,19,14,17,25,44
