100
298
1	38	17
2	54	17
3	3	15
4	24	17
5	21	11
6	97	13
7	64	13
8	41	13
9	15	11
10	48	15
11	35	11
12	63	19
13	50	12
14	8	13
15	1	14
16	17	19
17	70	20
18	9	16
19	91	15
20	3	18
21	48	13
22	0	15
23	29	15
24	3	15
25	44	13
26	32	11
27	31	13
28	68	14
29	59	12
30	23	11
31	57	16
32	2	18
33	12	19
34	51	13
35	47	17
36	45	15
37	35	13
38	31	13
39	15	15
40	58	15
41	92	11
42	98	14
43	61	18
44	17	14
45	57	17
46	3	13
47	65	14
48	51	16
49	75	15
50	45	16
51	35	19
52	12	14
53	3	18
54	9	16
55	67	10
56	34	11
57	32	10
58	69	20
59	53	18
60	70	20
61	63	17
62	88	11
63	0	16
64	98	19
65	6	13
66	7	17
67	8	17
68	93	10
69	24	14
70	2	14
71	76	16
72	46	18
73	95	18
74	97	19
75	59	10
76	4	10
77	4	19
78	26	12
79	25	12
80	0	18
81	24	13
82	92	19
83	56	19
84	25	12
85	48	17
86	22	12
87	61	19
88	82	13
89	10	19
90	32	11
91	100	13
92	60	14
93	22	17
94	84	19
95	58	18
96	32	13
97	63	11
98	2	15
99	26	14
100	41	12
