n:7
e:13
p:4
edges:[1 4 200 20 15 17 22
       2 4 150 15 15 15 30
       3 4 200 30 30 10 10
       1 5 200 30 25 27 22
       3 5 150 10 9 11 10
       4 6 400 75 75 75 75
       5 6 400 80 80 80 80
       1 7   0  0  0  0  0
       2 7   0  0  0  0  0
       3 7   0  0  0  0  0
       4 7   0  0  0  0  0
       5 7   0  0  0  0  0
       6 7   0  0  0  0  0]
b:[ 100  100   40   0
    100  200   50  50
     40  100   75 100
      0    0    0   0
      0    0    0   0
   -150 -200  -50 -75
    -90 -200 -115 -75]
