m:3
n:7
p:16
costo_var:[
88	87	96	84	50	73	106
102	56	65	87	106	109	81
108	87	83	74	109	87	98]
costo_fijo:[
3017	3016	3027	3004	3012	3013	3028
3010	3024	3028	3017	3013	3002	3000
3015	3019	3022	3020	3007	3006	3007]
cap:[
153	180	124	149	102	161	140
139	128	129	140	143	118	123
178	142	174	126	111	104	116]
ofe:[
63	60	57	102	43	45	99	50	74	77	92	95	100	116	74	86
46	112	83	109	56	83	107	48	42	53	64	105	56	109	112	57
88	84	64	69	92	51	57	66	94	46	45	43	65	110	51	68]
dem:[
14	16	27	27	26	15	11	15	22	29	20	11	23	22	17	11
11	26	18	19	27	11	12	18	19	14	14	11	12	17	23	20
21	18	30	18	21	12	13	28	25	17	21	13	25	27	27	20
17	19	19	25	20	27	27	17	23	27	28	20	11	28	16	27
24	29	27	22	20	16	12	29	12	29	13	15	24	16	11	29
27	26	27	14	27	18	22	13	30	26	21	24	30	28	19	16
12	28	13	30	20	15	15	17	22	21	20	24	26	18	28	15]	
